title,company,city,venue,booking_url,notes
The Keyword,The Keyword.es,,,https://thekeyword.es,
Action House,,,,,
Roomers Coslada,Roomers,,Coslada,,
Prison Escape,Escape Rooms Nederland,,,https://www.escaperoomsnederland.nl/rooms/prison-escape/,
Golden Celebraciones,Golden Celebraciones,,,,
Vacaciones,Dale al Coco,,,,
La entrevista,The Cubick,,,,
Tron Audi,,,,,
El bosque,Mindtrap,,,,
Los archivos perdidos,RK Games,,,,
La nave,RK Games,,,,
Abducción 3,,,,,
The Exam,,,,,
Hospital psiquiátrico,Golden Celebraciones,,,,
Kidnapped,,Barcelona,,,
Anabel,,,,,
Horror Box,,,,,
Insignia Corporation,,,,,
Operación Steampunk,Incógnito Escape,,,,
Hotel Overlook,,,,,
El orfanato,,Barcelona,Hospitalet,,
Elementales,Grupo de Escapers,Valencia,,,
La mina,Unreal Room Escape,,,,
Hostal psiquiátrico,Golden Celebraciones,,,https://www.goldencelebraciones.com/hostal-psiquiatrico,
Insidious,,Logroño,,,
Alicia país,,Toledo,,,
Experencity,,,,,
Scum Island,,,,,
Vikingos,Unreal Room Escape,,,,
Banca Corleone,,,,,
Amazein60,,,,,
La quinta de Melque,,,,,
Atrincherados,,,,,
Miedo,Tangram,,,,
El búho,,,,,
El misterio de la Sagra,,Fuenlabrada,,,
Madrid Terror,,Madrid,,,
Bite the Fly,,Madrid,,,Más bien tensión
La zona,El búho games,Madrid,,,
Inframundo,,Madrid,,,
La casa del cura,,Madrid,,,
Encerrados,,Madrid,,,
Tangram,,Madrid,,,
Resident Riddle,,Madrid,,,Modo combate solo
Hotel Overlook,,Madrid,,,
Desafíos,La Orden Escape,,,https://www.laordenescape.com/desafios,
Madrid terror con hipnotizador,,Madrid,,,
La Nave,,,,,
Operación Steampunk,Incognito Escape,,,,
Bates Motel,,,,,
El Sastre,,,,,
Balamku,,,,,
Influx,,,,,
Infiltración Espacial,,,,,
La Cronosfera,,,,,
Megachef,,,,,
La Tormenta,,,,,
El Sastre,,Palos de la Frontera,,,
El rey rojo,,Murcia,,,
La inmobiliaria,,,,,
El laberinto,D3sc1fra,San Sebastián de los Reyes,,,
Proyecto Dcrisis,Paradiso Escape Room,,,https://paradisoescaperoom.es/proyecto-dcrisis,
Ranking salas,Giba Escape,,,https://www.gibaescape.com/ranking/ranking-salas-de-escape,Lista de referencia
CyberCity 2049,Escape Barcelona,Barcelona,Santa Coloma de Gramenet,,
La Casa,Insomnia Corporation,Barcelona,Berga,,
Japanese Massage Center,Tao Room Escape,Barcelona,Calella,,
Virus Room Escape,Tao Room Escape,Barcelona,Calella,,
La cervesería,Enigmik,Barcelona,,,
Nathael,Cubick,Barcelona,Mataró,,
Tomb Hunter: La leyenda de Akasha,Escape Barcelona,Barcelona,Barna,,
